Song Title,Song URL,Cover Url,Genre,Time,Lyrics,Info,Keys
Dance Like Nobody's Watching (Remastered),http://suno.com/song/e0e697ac-d204-42e0-9a7e-ac3c06766f11,/icons/share.svg,liberating fun,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/76cacb4d-a133-490d-84ce-10a75d3ca2a9,/icons/share.svg,liberating fun,,,,
Heartbeats in the Dark (Remastered),http://suno.com/song/f1d39776-8882-48a3-b5f0-6cfc9f826629,/icons/share.svg,acoustic folk grounding uplifting,,,,
Heartbeats in the Dark2 (Remastered),http://suno.com/song/7b1c7503-690d-4444-af3a-421b0645d980,/icons/share.svg,acoustic folk grounding uplifting,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/0b741f62-2e54-4edf-b7ff-c51441b11e21,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Whisper of the Willow (Remastered),http://suno.com/song/80be8935-2f9e-4a78-a175-8d70116a91a3,/icons/share.svg,soft rock reflective emotional,,,,
Willow Whispers (Remastered),http://suno.com/song/85d46ed6-f845-41ad-b873-dca3b51b0e3a,/icons/share.svg,soft rock reflective emotional,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/50c993db-9c4d-4f2c-bd2e-f6ebfad720ad,/icons/share.svg,gritty electronic hip-hop,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/92a2eab6-d8aa-43c0-aa90-aa85cb8f6cd9,/icons/share.svg,gritty electronic hip-hop,,,,
Junkyard Symphony Scraps2 (Remastered),http://suno.com/song/4624ee1f-f500-4730-993e-09bdda7ef001,/icons/share.svg,soulful inspired acoustic,,,,
Junkyard Symphony Scraps (Remastered),http://suno.com/song/ee75fdd8-c68d-4de5-ad10-42bd7543a60e,/icons/share.svg,soulful inspired acoustic,,,,
Love is rubbish Let's Get Trashy,http://suno.com/song/6e1c96f3-efca-4884-a4c4-b85f30aab33f,/icons/share.svg,acoustic indie-folk  rock edgy,,,,
Witches Road (Remastered),http://suno.com/song/56a9fa4e-c981-40a9-91ec-4a49f695c434,/icons/share.svg,acoustic indie-folk rock edgy,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/f57ad273-a186-4fd5-8904-597e16a7bd5f,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/898a4878-3aa9-4a6d-aa29-aa3f8b59b10e,/icons/share.svg,acoustic indie-folk rock edgy,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/b485474e-2a2a-4f6c-a8f9-d709c6c294f3,/icons/share.svg,acoustic indie-folk rock edgy,,,,
No More Love Songs (Remastered),http://suno.com/song/32eaaf75-05a9-461d-8108-c13dc2b69c4d,/icons/share.svg,acoustic folk rock,,,,
No More Love Songs (Remastered),http://suno.com/song/92ba1a0c-abed-482f-b4a7-c6a5fa876b4f,/icons/share.svg,acoustic folk rock,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/e0e697ac-d204-42e0-9a7e-ac3c06766f11,/icons/share.svg,liberating fun,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/76cacb4d-a133-490d-84ce-10a75d3ca2a9,/icons/share.svg,liberating fun,,,,
Heartbeats in the Dark (Remastered),http://suno.com/song/f1d39776-8882-48a3-b5f0-6cfc9f826629,/icons/share.svg,acoustic folk grounding uplifting,,,,
Heartbeats in the Dark2 (Remastered),http://suno.com/song/7b1c7503-690d-4444-af3a-421b0645d980,/icons/share.svg,acoustic folk grounding uplifting,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/0b741f62-2e54-4edf-b7ff-c51441b11e21,https://cdn2.suno.ai/image_0b741f62-2e54-4edf-b7ff-c51441b11e21.jpeg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Whisper of the Willow (Remastered),http://suno.com/song/80be8935-2f9e-4a78-a175-8d70116a91a3,/icons/share.svg,soft rock reflective emotional,,,,
Willow Whispers (Remastered),http://suno.com/song/85d46ed6-f845-41ad-b873-dca3b51b0e3a,/icons/share.svg,soft rock reflective emotional,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/50c993db-9c4d-4f2c-bd2e-f6ebfad720ad,/icons/share.svg,gritty electronic hip-hop,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/92a2eab6-d8aa-43c0-aa90-aa85cb8f6cd9,/icons/share.svg,gritty electronic hip-hop,,,,
Junkyard Symphony Scraps2 (Remastered),http://suno.com/song/4624ee1f-f500-4730-993e-09bdda7ef001,/icons/share.svg,soulful inspired acoustic,,,,
Junkyard Symphony Scraps (Remastered),http://suno.com/song/ee75fdd8-c68d-4de5-ad10-42bd7543a60e,/icons/share.svg,soulful inspired acoustic,,,,
Love is rubbish Let's Get Trashy,http://suno.com/song/6e1c96f3-efca-4884-a4c4-b85f30aab33f,/icons/share.svg,acoustic indie-folk  rock edgy,,,,
Witches Road (Remastered),http://suno.com/song/56a9fa4e-c981-40a9-91ec-4a49f695c434,/icons/share.svg,acoustic indie-folk rock edgy,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/f57ad273-a186-4fd5-8904-597e16a7bd5f,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/898a4878-3aa9-4a6d-aa29-aa3f8b59b10e,/icons/share.svg,acoustic indie-folk rock edgy,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/b485474e-2a2a-4f6c-a8f9-d709c6c294f3,/icons/share.svg,acoustic indie-folk rock edgy,,,,
No More Love Songs (Remastered),http://suno.com/song/32eaaf75-05a9-461d-8108-c13dc2b69c4d,/icons/share.svg,acoustic folk rock,,,,
No More Love Songs (Remastered),http://suno.com/song/92ba1a0c-abed-482f-b4a7-c6a5fa876b4f,/icons/share.svg,acoustic folk rock,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/e0e697ac-d204-42e0-9a7e-ac3c06766f11,/icons/share.svg,liberating fun,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/76cacb4d-a133-490d-84ce-10a75d3ca2a9,/icons/share.svg,liberating fun,,,,
Heartbeats in the Dark (Remastered),http://suno.com/song/f1d39776-8882-48a3-b5f0-6cfc9f826629,/icons/share.svg,acoustic folk grounding uplifting,,,,
Heartbeats in the Dark2 (Remastered),http://suno.com/song/7b1c7503-690d-4444-af3a-421b0645d980,/icons/share.svg,acoustic folk grounding uplifting,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/0b741f62-2e54-4edf-b7ff-c51441b11e21,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Whisper of the Willow (Remastered),http://suno.com/song/80be8935-2f9e-4a78-a175-8d70116a91a3,/icons/share.svg,soft rock reflective emotional,,,,
Willow Whispers (Remastered),http://suno.com/song/85d46ed6-f845-41ad-b873-dca3b51b0e3a,/icons/share.svg,soft rock reflective emotional,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/50c993db-9c4d-4f2c-bd2e-f6ebfad720ad,/icons/share.svg,gritty electronic hip-hop,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/92a2eab6-d8aa-43c0-aa90-aa85cb8f6cd9,/icons/share.svg,gritty electronic hip-hop,,,,
Junkyard Symphony Scraps2 (Remastered),http://suno.com/song/4624ee1f-f500-4730-993e-09bdda7ef001,/icons/share.svg,soulful inspired acoustic,,,,
Junkyard Symphony Scraps (Remastered),http://suno.com/song/ee75fdd8-c68d-4de5-ad10-42bd7543a60e,/icons/share.svg,soulful inspired acoustic,,,,
Love is rubbish Let's Get Trashy,http://suno.com/song/6e1c96f3-efca-4884-a4c4-b85f30aab33f,/icons/share.svg,acoustic indie-folk  rock edgy,,,,
Witches Road (Remastered),http://suno.com/song/56a9fa4e-c981-40a9-91ec-4a49f695c434,/icons/share.svg,acoustic indie-folk rock edgy,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/f57ad273-a186-4fd5-8904-597e16a7bd5f,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/898a4878-3aa9-4a6d-aa29-aa3f8b59b10e,/icons/share.svg,acoustic indie-folk rock edgy,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/b485474e-2a2a-4f6c-a8f9-d709c6c294f3,/icons/share.svg,acoustic indie-folk rock edgy,,,,
No More Love Songs (Remastered),http://suno.com/song/32eaaf75-05a9-461d-8108-c13dc2b69c4d,/icons/share.svg,acoustic folk rock,,,,
No More Love Songs (Remastered),http://suno.com/song/92ba1a0c-abed-482f-b4a7-c6a5fa876b4f,/icons/share.svg,acoustic folk rock,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/e0e697ac-d204-42e0-9a7e-ac3c06766f11,/icons/share.svg,liberating fun,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/76cacb4d-a133-490d-84ce-10a75d3ca2a9,/icons/share.svg,liberating fun,,,,
Heartbeats in the Dark (Remastered),http://suno.com/song/f1d39776-8882-48a3-b5f0-6cfc9f826629,/icons/share.svg,acoustic folk grounding uplifting,,,,
Heartbeats in the Dark2 (Remastered),http://suno.com/song/7b1c7503-690d-4444-af3a-421b0645d980,/icons/share.svg,acoustic folk grounding uplifting,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/0b741f62-2e54-4edf-b7ff-c51441b11e21,https://cdn2.suno.ai/image_0b741f62-2e54-4edf-b7ff-c51441b11e21.jpeg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Whisper of the Willow (Remastered),http://suno.com/song/80be8935-2f9e-4a78-a175-8d70116a91a3,/icons/share.svg,soft rock reflective emotional,,,,
Willow Whispers (Remastered),http://suno.com/song/85d46ed6-f845-41ad-b873-dca3b51b0e3a,/icons/share.svg,soft rock reflective emotional,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/50c993db-9c4d-4f2c-bd2e-f6ebfad720ad,/icons/share.svg,gritty electronic hip-hop,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/92a2eab6-d8aa-43c0-aa90-aa85cb8f6cd9,/icons/share.svg,gritty electronic hip-hop,,,,
Junkyard Symphony Scraps2 (Remastered),http://suno.com/song/4624ee1f-f500-4730-993e-09bdda7ef001,/icons/share.svg,soulful inspired acoustic,,,,
Junkyard Symphony Scraps (Remastered),http://suno.com/song/ee75fdd8-c68d-4de5-ad10-42bd7543a60e,/icons/share.svg,soulful inspired acoustic,,,,
Love is rubbish Let's Get Trashy,http://suno.com/song/6e1c96f3-efca-4884-a4c4-b85f30aab33f,/icons/share.svg,acoustic indie-folk  rock edgy,,,,
Witches Road (Remastered),http://suno.com/song/56a9fa4e-c981-40a9-91ec-4a49f695c434,/icons/share.svg,acoustic indie-folk rock edgy,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/f57ad273-a186-4fd5-8904-597e16a7bd5f,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/898a4878-3aa9-4a6d-aa29-aa3f8b59b10e,/icons/share.svg,acoustic indie-folk rock edgy,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/b485474e-2a2a-4f6c-a8f9-d709c6c294f3,/icons/share.svg,acoustic indie-folk rock edgy,,,,
No More Love Songs (Remastered),http://suno.com/song/32eaaf75-05a9-461d-8108-c13dc2b69c4d,/icons/share.svg,acoustic folk rock,,,,
No More Love Songs (Remastered),http://suno.com/song/92ba1a0c-abed-482f-b4a7-c6a5fa876b4f,/icons/share.svg,acoustic folk rock,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/e0e697ac-d204-42e0-9a7e-ac3c06766f11,/icons/share.svg,liberating fun,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/76cacb4d-a133-490d-84ce-10a75d3ca2a9,/icons/share.svg,liberating fun,,,,
Heartbeats in the Dark (Remastered),http://suno.com/song/f1d39776-8882-48a3-b5f0-6cfc9f826629,/icons/share.svg,acoustic folk grounding uplifting,,,,
Heartbeats in the Dark2 (Remastered),http://suno.com/song/7b1c7503-690d-4444-af3a-421b0645d980,/icons/share.svg,acoustic folk grounding uplifting,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/0b741f62-2e54-4edf-b7ff-c51441b11e21,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Whisper of the Willow (Remastered),http://suno.com/song/80be8935-2f9e-4a78-a175-8d70116a91a3,/icons/share.svg,soft rock reflective emotional,,,,
Willow Whispers (Remastered),http://suno.com/song/85d46ed6-f845-41ad-b873-dca3b51b0e3a,/icons/share.svg,soft rock reflective emotional,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/50c993db-9c4d-4f2c-bd2e-f6ebfad720ad,/icons/share.svg,gritty electronic hip-hop,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/92a2eab6-d8aa-43c0-aa90-aa85cb8f6cd9,/icons/share.svg,gritty electronic hip-hop,,,,
Junkyard Symphony Scraps2 (Remastered),http://suno.com/song/4624ee1f-f500-4730-993e-09bdda7ef001,/icons/share.svg,soulful inspired acoustic,,,,
Junkyard Symphony Scraps (Remastered),http://suno.com/song/ee75fdd8-c68d-4de5-ad10-42bd7543a60e,/icons/share.svg,soulful inspired acoustic,,,,
Love is rubbish Let's Get Trashy,http://suno.com/song/6e1c96f3-efca-4884-a4c4-b85f30aab33f,/icons/share.svg,acoustic indie-folk  rock edgy,,,,
Witches Road (Remastered),http://suno.com/song/56a9fa4e-c981-40a9-91ec-4a49f695c434,/icons/share.svg,acoustic indie-folk rock edgy,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/f57ad273-a186-4fd5-8904-597e16a7bd5f,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/898a4878-3aa9-4a6d-aa29-aa3f8b59b10e,/icons/share.svg,acoustic indie-folk rock edgy,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/b485474e-2a2a-4f6c-a8f9-d709c6c294f3,/icons/share.svg,acoustic indie-folk rock edgy,,,,
No More Love Songs (Remastered),http://suno.com/song/32eaaf75-05a9-461d-8108-c13dc2b69c4d,/icons/share.svg,acoustic folk rock,,,,
No More Love Songs (Remastered),http://suno.com/song/92ba1a0c-abed-482f-b4a7-c6a5fa876b4f,/icons/share.svg,acoustic folk rock,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/e0e697ac-d204-42e0-9a7e-ac3c06766f11,/icons/share.svg,liberating fun,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/76cacb4d-a133-490d-84ce-10a75d3ca2a9,/icons/share.svg,liberating fun,,,,
Heartbeats in the Dark (Remastered),http://suno.com/song/f1d39776-8882-48a3-b5f0-6cfc9f826629,/icons/share.svg,acoustic folk grounding uplifting,,,,
Heartbeats in the Dark2 (Remastered),http://suno.com/song/7b1c7503-690d-4444-af3a-421b0645d980,/icons/share.svg,acoustic folk grounding uplifting,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/0b741f62-2e54-4edf-b7ff-c51441b11e21,https://cdn2.suno.ai/image_0b741f62-2e54-4edf-b7ff-c51441b11e21.jpeg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Whisper of the Willow (Remastered),http://suno.com/song/80be8935-2f9e-4a78-a175-8d70116a91a3,/icons/share.svg,soft rock reflective emotional,,,,
Willow Whispers (Remastered),http://suno.com/song/85d46ed6-f845-41ad-b873-dca3b51b0e3a,/icons/share.svg,soft rock reflective emotional,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/50c993db-9c4d-4f2c-bd2e-f6ebfad720ad,/icons/share.svg,gritty electronic hip-hop,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/92a2eab6-d8aa-43c0-aa90-aa85cb8f6cd9,/icons/share.svg,gritty electronic hip-hop,,,,
Junkyard Symphony Scraps2 (Remastered),http://suno.com/song/4624ee1f-f500-4730-993e-09bdda7ef001,/icons/share.svg,soulful inspired acoustic,,,,
Junkyard Symphony Scraps (Remastered),http://suno.com/song/ee75fdd8-c68d-4de5-ad10-42bd7543a60e,/icons/share.svg,soulful inspired acoustic,,,,
Love is rubbish Let's Get Trashy,http://suno.com/song/6e1c96f3-efca-4884-a4c4-b85f30aab33f,/icons/share.svg,acoustic indie-folk  rock edgy,,,,
Witches Road (Remastered),http://suno.com/song/56a9fa4e-c981-40a9-91ec-4a49f695c434,/icons/share.svg,acoustic indie-folk rock edgy,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/f57ad273-a186-4fd5-8904-597e16a7bd5f,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/898a4878-3aa9-4a6d-aa29-aa3f8b59b10e,/icons/share.svg,acoustic indie-folk rock edgy,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/b485474e-2a2a-4f6c-a8f9-d709c6c294f3,/icons/share.svg,acoustic indie-folk rock edgy,,,,
No More Love Songs (Remastered),http://suno.com/song/32eaaf75-05a9-461d-8108-c13dc2b69c4d,/icons/share.svg,acoustic folk rock,,,,
No More Love Songs (Remastered),http://suno.com/song/92ba1a0c-abed-482f-b4a7-c6a5fa876b4f,/icons/share.svg,acoustic folk rock,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/e0e697ac-d204-42e0-9a7e-ac3c06766f11,/icons/share.svg,liberating fun,,,,
Dance Like Nobody's Watching (Remastered),http://suno.com/song/76cacb4d-a133-490d-84ce-10a75d3ca2a9,/icons/share.svg,liberating fun,,,,
Heartbeats in the Dark (Remastered),http://suno.com/song/f1d39776-8882-48a3-b5f0-6cfc9f826629,/icons/share.svg,acoustic folk grounding uplifting,,,,
Heartbeats in the Dark2 (Remastered),http://suno.com/song/7b1c7503-690d-4444-af3a-421b0645d980,/icons/share.svg,acoustic folk grounding uplifting,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/0b741f62-2e54-4edf-b7ff-c51441b11e21,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/a46cf8b9-967c-4486-85a4-c1df6d9ced1b,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Whisper of the Willow (Remastered),http://suno.com/song/80be8935-2f9e-4a78-a175-8d70116a91a3,/icons/share.svg,soft rock reflective emotional,,,,
Willow Whispers (Remastered),http://suno.com/song/85d46ed6-f845-41ad-b873-dca3b51b0e3a,/icons/share.svg,soft rock reflective emotional,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/50c993db-9c4d-4f2c-bd2e-f6ebfad720ad,/icons/share.svg,gritty electronic hip-hop,,,,
Heroes Rise  - Villains Overthrow (Remastered),http://suno.com/song/92a2eab6-d8aa-43c0-aa90-aa85cb8f6cd9,/icons/share.svg,gritty electronic hip-hop,,,,
Junkyard Symphony Scraps2 (Remastered),http://suno.com/song/4624ee1f-f500-4730-993e-09bdda7ef001,/icons/share.svg,soulful inspired acoustic,,,,
Junkyard Symphony Scraps (Remastered),http://suno.com/song/ee75fdd8-c68d-4de5-ad10-42bd7543a60e,/icons/share.svg,soulful inspired acoustic,,,,
Love is rubbish Let's Get Trashy,http://suno.com/song/6e1c96f3-efca-4884-a4c4-b85f30aab33f,/icons/share.svg,acoustic indie-folk  rock edgy,,,,
Witches Road (Remastered),http://suno.com/song/56a9fa4e-c981-40a9-91ec-4a49f695c434,/icons/share.svg,acoustic indie-folk rock edgy,,,,
The Sound of Ancestors (Remastered),http://suno.com/song/f57ad273-a186-4fd5-8904-597e16a7bd5f,/icons/share.svg,latin-infused roots healing vibes tropical mysticism,,,,
Echoes of Yesterday (Remastered),http://suno.com/song/898a4878-3aa9-4a6d-aa29-aa3f8b59b10e,/icons/share.svg,acoustic indie-folk rock edgy,,,,
